Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2014,12/04/2014,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/16 Pole,Racing,Thoroughbred, ,Rosemarie, ,JULISSA LAREDO,Rosemarie-Tr. Peter Chin-pulled up-ambulanced  off-first time-horse bled-must requalify,Steward's List
2014,12/04/2014,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,Warrior's Hero, ,RUBEN SILVERA,Warrior's Hero-Tr. Mike Wilson-pulled up-ambulanced off-rider off-xrays revealed fx R carpus-euthanized,Equine Death
2009,03/28/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy,Dr. Silver Packet,JOHN P. CAMPO JR, ,Dr. Silver Packet-Tr. John Campo-horse hurt stifle-walked off track, 
2009,04/04/2009,STEWARDS/VETS LIST,Buffalo Raceway, ,Racing,Harness, ,Fox Valley Con Man,RONALD C. BEBACK JR, ,Fox Valley Con Man-Tr. Ron Beback-lame RF ankle-given time before resuming workouts, 
2012,03/19/2012,ON-TRACK ACCIDENT,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Clear  cool,Finally Finished,HAROLD REDDICK JR, ,Finally Finished-Tr. Harold Reddick-deep abrasions both knees & LF coronet band-requalified 4/24/09, 
2009,03/29/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Rain,Yankee Threads,RICHARD L. STOKLOSA, ,Yankee Threads-Tr. Richard Stoklosa-tore left suspensory-retired, 
2009,04/10/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred, ,Midnight Slammer,DOMINIC G. GALLUSCIO, ,Midnight Slammer-Tr. Dominick Galluscio-Euthanasia-RF cannon bone fx, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Truly Devine,GARY C. CONTESSA, ,Truly Devine-Tr. Gary Contessa-fell over downed horse  minor cuts & scrapes  horse ok, 
2009,04/08/2009,STEWARDS/VETS LIST,Buffalo Raceway, ,Racing,Harness, ,Hello Yankee,JAMES P. MCNEIGHT, ,Hello Yankee-Tr. James McNeight-scratched lame-working w/ horse to correct lameness, 
2009,04/06/2009,STEWARDS/VETS LIST,Buffalo Raceway,BR,Non-Racing,Harness, ,Chomp the Bit,LAURIE M. PATISTAS, ,Chomp the Bit-Tr. Laurie Patistas-scratched 2 days prior to race - LF ankle-lame, 
2009,04/06/2009,STEWARDS/VETS LIST,Buffalo Raceway, ,Non-Racing,Harness, ,Cam Bo Informal,BOBBI JO MARTIN, ,Cam Bo Informal-Tr. Bobbi Jo Martin-scratched 2 days prior to race-LF ankle-lame, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,One Dream Union,BRUCE R. BROWN, ,One Dream Union-Tr. Bruce Brown-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Hot Chile Soup,ENRIQUE ARROYO, ,Hot Chile Soup-Tr. Enrique Arroyo-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,All Bets Off,B E. LEVINE, ,All Bets Off-Tr. Bruce Levine-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,04/17/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness, ,Western Thrill, , ,Western Thrill-Driver P. Lancaster-unseated driver  ran loose & fell  minor abrasions-horse & driver ok, 
2009,03/05/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Clear & Cold,Sigh You, , ,Sigh You-Tr. Patrick Kelly-Euthanasia-Left Front Sesamoid FX, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Private Details,JOHN P. TERRANOVA II, ,Private Details-Tr. John Terranova-fell  fx LF cannon bone  euthanized, 
2009,03/04/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Private Details,JOHN P. TERRANOVA II, ,Private Details-Tr. John Terranova-fell on track-fx LF cannon bone-euthanized,Euthanasia
2009,04/11/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn #35,Non-Racing,Thoroughbred, ,My Lovely Lark,GREGORY J. DIPRIMA, ,My Lovely Lark-Tr. Gregory Diprima-Euthanasia-Colic, 
2009,04/17/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred, ,Tin Cup Chalice,MICHAEL A. LECESSE, ,TIN CUP CHALICE-Tr. Michael Lecesse-euthanized after accident-failed hind quarters, 
2009,04/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Roaring Spouse,DOROTHY A. GENTNER, ,Roaring Spouse-Tr. Dorothy Gentner-LF fetlock lateral condylar fx-euthanized, 
2009,04/14/2009,EQUINE DEATH,Yonkers Raceway,Yonkers,Training,Harness, ,Della Crème,DENNIS J. LATERZA, ,Della Crème-Tr. Dennis Laterza-collapsed & died while excercising,Equine Death
2009,03/24/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Cloudy/cold,Grouse A,TODD J. MARCIANO, ,Grouse A-Tr. Todd Marciano- reinjured lower LF bow tendon-given rest time, 
2009,04/25/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Wire - first time,Racing,Thoroughbred,Clear,Cloud Nine,DAVID P. DUGGAN, ,Cloud Nine-Tr. David Duggan-fx R hind cannon bone-euthanized, 
2009,04/28/2009,STEWARDS/VETS LIST,Tioga Downs,Paddock and race track,Racing,Harness,snowing then sun,Henry 8th,PHILLIP J. FLUET, ,Henry 8th-Tr. Phillip Fluet-lame in post parade-scratched,Steward's List
2009,04/17/2009,ON-TRACK ACCIDENT,Finger Lakes Gaming & Racetrack,Finger Lakes,Training,Thoroughbred,Clear,Zany,JEREMIAH C. ENGLEHART, ,Zany-Tr. J. Englehart & Tin Cup Chalice-Tr. M. Lecesse - horses collided-fx R humerus & lost function in rear extremities-euthenasia of both horses, 
2009,04/28/2009,EQUINE DEATH,Belmont Park (NYRA),1mile 1/4,Training,Thoroughbred,Clear,Timberah,STEVEN M. ASMUSSEN, ,Timberah-Tr. Steven Asmussen-RF sesamoid fx-euthanasia, 
2009,05/01/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After Wire,Racing,Thoroughbred,Clear,Wicked B. Havior,BARCLAY TAGG, ,Wicked B. Havior-Tr. Barclay Tagg-pulled up lame-resumed training,Lame no death
2009,04/23/2009,STEWARDS/VETS LIST,Yonkers Raceway,Yonkers,Racing,Harness, ,Ray the King,SCOTT D. DIDOMENICO, ,Ray the King-Tr. Scott DiDomenico-stumbled during race-atrial fib-walked off track, 
2009,04/28/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Non-Racing,Thoroughbred, ,ESTOPLAM,HECTOR GUERRA, ,Estoplam-Tr. Hector Guerra-advanced joint disease-euthanized, 
2009,05/02/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Non-Racing,Thoroughbred, ,BENEFIANCE,OSCAR S. BARRERA JR, ,Benefiance-Tr. Oscar Barrera  Jr.-medial basalar sesamoidiar fracture-euthanized,death
2009,05/10/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Barn #3 Aqueduct,Racing,Thoroughbred,Clear,Digger Karakorum,JEFFREY K. ODINTZ, ,Digger Karakorum-Tr. Jeffrey Odintz-RF bowed tendon-sent to farm to recover,Injury
2009,05/31/2009,EQUINE DEATH,Belmont Park (NYRA),After 1/4 pole,Racing,Thoroughbred,Sunny,Sassification,MICHAEL J. JABLOW, ,Sassification-Tr. Michael Jablow-LF sesamoid fx-euthanized,Euthanasia
2009,04/30/2009,FALL OF RIDER,Belmont Park (NYRA),Main Track,Racing,Thoroughbred,Clear,Royal Skip,PAULINO O. ORTIZ, ,Royal Skip-Tr. Paulino Ortiz-rider unseated & taken to hospital & released-no injury to horse, 
2009,05/15/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness, ,DW'S Judy,GILBERT E. LAWYER JR, ,DW'S Judy-Tr. Gilbert Lawyer-LF lameness-scratched-5/29/09 returned t race,Steward's List
2009,05/07/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Clear  cool,Blueridge Ingenue,CLAUDE H. BOURGEOIS, ,Blueridge Ingenue-Claude Bourgeois-lame during warm-up-scratched-giving time off,Lameness
2009,05/07/2009,EQUINE DEATH,Belmont Park (NYRA),Barn #10,Racing,Thoroughbred,Overcast,Precious Kiss,THOMAS ALBERTRANI, ,Precious Kiss-Tr. Thomas Albertrani-LF sesamoids fx-euthanized,Death
2009,04/28/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Even Par,SAMUEL J. KEYROUZE, ,EVEN PAR-Tr. Samuel Keyrouse-fx left cannon bone-euthanized,Equine Death
2009,05/20/2009,EQUINE DEATH,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,Clear,City On Line,HARRY A. JERKENS, ,City On Line-Tr. Harry Jerkens-unseated rider ran to paddock & hit statue-L femur fx-euthanized,Equine Death
2009,05/22/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Clear  warm,makeherownway,JOHN G. STASKOWSKI, ,Makeherownway-Tr. John Staskowski-came up lame following race-horse retired,Lameness
2009,05/30/2009,ACCIDENT - ON TRACK,Tioga Downs,Tioga Downs,Racing,Harness,Clear,Bull Rush,RAYMOND W. SCHNITTKER, ,Bull Rush-Tr. R. Schnittker & Lockridge-Tr. K Johnson-collision after race-no injury to Bull Rush-Lockridge sustained RF splint bone fx-surgery-cond. Unknown, 
2009,05/20/2009,ACCIDENT - ON TRACK,Buffalo Raceway,finish line -,Racing,Harness,clear,CODE WHITE,LYNN M. FISHER, ,Code White-Tr. Lynn Fisher-fell at finish line-LF elbow & knee lacerations-horse recovering quickly,Injury
2009,05/30/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,clear - 66 degrees,Tropical Punch,LAURIE M. PATISTAS, ,Tropical Punch-Tr. Laurie Patistas-lame horse on trac-scratched-full recovery expected,Lameness
2009,06/06/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga,Racing,Harness, ,Shorty's Boy N,DAVID J. CORLEW, ,Shorty's Boy N-Tr. David Corlew-lame L/F ankle-turned out to rest,Steward's List
2009,06/13/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Harness,Racing,Harness,70  Rain,Seeshark,DAVID J. CORLEW, ,Seeshark-Tr. David Corlew-lame-scratched-6/24/09-ok to race,Steward's List
2009,05/20/2009,STEWARDS/VETS LIST,Buffalo Raceway,finish line - Buffalo Raceway,Racing,Harness,clear,WINFORUS N,BRENDA A. OHOL, ,Winforus N-Tr. Brenda Ohol-fell after crossing finish line-superficial injuries bandaged and rest,Injury
2009,05/30/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn 43,Non-Racing,Thoroughbred, ,Glacken Queen,MICHAEL E. HUSHION, ,Glacken Queen-Tr. Michael Hushion-flipped while washing  head trauma could not stand-euthanized,Equine Death
2009,05/31/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont barn 43,Training,Thoroughbred,Cloudy,Teapot Dome,MICHAEL E. HUSHION, ,Teapot Dome-Tr. Michael Hushion-CV collapse after breezing-died in stall,Equine Death
2009,06/13/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes Racetrack,Training,Thoroughbred, ,LILITH'S DREAM,JONATHAN B. BUCKLEY, ,Lilith's Dream- Tr. Jonathan Buckley-fx sesamoid RF limb-euthanized,Euthanasia
2009,05/14/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,"MR, After Start, Racing",Racing,Harness,Cloudy/cool,Chicka Chicka,PETER T. STRATTON, ,Chicka Chicka-Tr. Peter Stratton-suspected fx-horse sold (See case R0578.09),Steward's List
2009,04/29/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,"MR, After Start, Racing",Unknown,Harness,Cloudy/cool,Chicka Chicka,PETER T. STRATTON, ,Chicka Chicka-Tr. Peter Stratton-suspected fx-horse sold (See case R0578.09),Injury
2009,05/28/2009,EQUINE DEATH,Belmont Park (NYRA),Wire,Racing,Thoroughbred,cloudy,Sammy's Toy,TIMOTHY S. RITVO, ,Sammy's Toy-Tr. Tim Ritvo-sesamoid fractures & suspensory rupture-euthanized,Euthanasia
2009,05/15/2009,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,Cloudy,Deferredretirement,FAUSTINO F. RAMOS, ,Deferredretirement-Tr. Faustino Ramos-RF sesamoid fx-euthanized,Euthanasia
2009,05/03/2009,EQUINE DEATH,Belmont Park (NYRA),3/4 Pole,Training,Thoroughbred,Cloudy,Not Ja Mama,KIARAN P. MC LAUGHLIN, ,Not Ja Mama-Tr. Kiaran McLaughlin-RF Cannon Bone Fx-Euthanasia,Death
2009,04/28/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Barn#1,Training,Thoroughbred,Clear,Mickeless,BOB G. DUNHAM, ,Mickeless-Tr. Bob Dunham-fx RF sesamoids-Euthanasia,Death
2009,05/14/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After wire,Racing,Thoroughbred,Cloudy,Sounds Tacky,PASTOR . MENA II, ,Sounds Tacky-Tr. Pastor Mena-pulled up & ambulanced off track-no apparent injury-removed from vet's list,Steward's List
2009,04/30/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After Wire,Racing,Thoroughbred,Clear,King Mobay,SYDNEY D. DUTROW, ,King Mobay-Tr. Sydney Dutrow-LF suspensory damage-horse retired,Injury
2009,05/30/2009,STEWARDS/VETS LIST,Tioga Downs,Tioga Downs,Racing,Harness,Clear,LOCKRIDGE,KEVIN W. JOHNSON, ,Lockridge-Tr. Kevin Johnson-sustained RF splint bone fx-surgery-condition unknown,Accident
2009,05/15/2009,EQUINE DEATH,Yonkers Raceway,1/2mi POLE,Racing,Harness,CLEAR,B SMART,SCOTT D. DIDOMENICO, ,B Smart-Tr. Scott DiDomenico-fx LH cannon bone-euthanized,Euthanasia
2009,04/17/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred, ,Speedball Howie,RAFAEL G. ROHENA SR, ,Speedball Howie-Tr. Rafael Rohen  Sr.-suffered knee injury-xray showed fx knee-euthanized 10 days later 4/27/09,Injury
2009,06/05/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Munro Bank,RAFAEL G. ROHENA SR, ,Munro Bank-Tr. Rafael G Rohena Sr.-fx-lame-surgery not an option-euthanized,Equine Death
2009,06/09/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred, ,A SONG FOR HOPE,RAFAEL G. ROHENA SR, ,A Song For Hope-Tr. Rafael Rohena  Sr.-sustained mid-body humeral fx during workout-euthanized,Euthanasia
2009,07/17/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Racing,Harness,Cloudy,Match That,BRIAN A. O'NEILL, ,Match-Tr. Brian O'Neill- That scratched,Lameness
2009,06/17/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Unknown,Harness,Cloudy,Match That,BRIAN A. O'NEILL, ,Match-Tr. Brian O'Neill- That scratched, 
2009,06/25/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Racing,Harness,Clear but overcast,Jamin James,BRIAN A. O'NEILL, ,Jasmin James-Tr. Brian O'Neill-RF lameness-scratched,Lameness
2009,06/25/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Clear but overcast,Super Precious,BRIAN A. O'NEILL, ,Super Precious-Tr. Brian O'Neill-LF leg lameness-scratched,Lameness
2009,07/16/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness, ,Super Precious,BRIAN A. O'NEILL, ,Super Precious-Tr. Brian O'Neill-LF Lameness-Scratched,Lameness
2009,07/22/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,EVALUATOR,OSCAR S. BARRERA JR, ,Evaluator-Tr.Oscar Barrera  Jr.-LM sesamoid fx-euthanized,Euthanasia
2009,07/05/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACE TRACK,Non-Racing,Thoroughbred, ,GET YOUR GROOVE ON,OSCAR S. BARRERA JR, ,Get Your Groove On-Tr. Oscar S Barrera  Jr-pleuro pneumonia-euthanized,Euthanasia
2009,06/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACETRACK,Racing,Thoroughbred,RAIN,I'M A BELIEVER,OSCAR S. BARRERA JR, ,I'm A Believer-Tr. Oscar Barrera  Jr.-sustained fx 3rd carpal bone- euthanized,Equine Death
2009,07/08/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,partly cloudy  70 degrees,PRECIOUS REVENGE,CARL M. CUMMINGS, ,Precious Revenge-Tr. Carl Cummings-hind lameness-scratched-rested & ok to race,Lameness
2009,06/26/2009,FALL OF RIDER,Belmont Park (NYRA),Quarter pole,Racing,Thoroughbred,Cloudy,Prairie Boy,JOFFRE M. CORREA, ,Prairie Boy-Tr. Joffre Correa-Tight quarters hit rail  rider lost-both horse & jockey ok, 
2009,06/27/2009,EQUINE DEATH,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Cape Marco,NICHOLAS P. ZITO, ,Cape Marco-Tr. Nick Zito-ruptured artery/torn ligaments-euthanized,Euthanasia
2009,07/10/2009,FALL OF RIDER,Belmont Park (NYRA),Main Track,Racing,Thoroughbred,Clear,Raceland,NEAL J. TERRACCIANO, ,Raceland-Neal Terracciano-Jockey Rudy Rodriguez-horse & rider appear ok, 
2009,06/13/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness,Sunny  Clear,Steuben Paul,MARY BETH NELSON, ,Steuben  Paul-Tr. Mary Beth Fisher-hit by another sulky-superficial injuries to horse-driver not injured,Accident
2009,06/21/2009,FALL OF RIDER,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,RIVER WARRIOR,BETH M. SAUL, ,River Warrior-Tr. Beth Saul-reared at start and lost rider-no injury to horse or rider, 
2009,04/09/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,clear 45 degrees,Him N Me,GENERAL B. WASHINGTON JR, ,Him N Me-Tr. General Washington-came up lame-scratched-LF suspensor  ligament-stall & field rest, 
2009,06/12/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Belmont Race Track,Racing,Thoroughbred, ,Dance Lesson,GREGORY J. DIPRIMA, ,Dance Lesson-Tr. Gregory Diprima-bowed RF tendon-retired  broodmare,Injury
2009,07/12/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,ALIE'S GALAXY,JAMES T. WRIGHT, ,Alie's Galaxy-Tr. James Wright-flipped in paddock-severe head trauma-euthanized,Euthanasia
2009,07/22/2009,EQUINE DEATH,Belmont Park (NYRA),Stall / Barn,Non-Racing,Thoroughbred, ,Daimons Glory,HARRY A. JERKENS, ,Daimons Glory-Tr. Harry Jerkens-R Hock infection-euthanized,Euthanasia
2009,05/14/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Rain,Harmony Shuttle,HENRY H. WESTBROOK III, ,Harmony Shuttle-Tr. Henry Westbrook-flipped entering track-scratched-no apparent injuries,Steward's List
2009,06/30/2009,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,CAPTIVA  DREAMIN,LAVERN A. BOWMAN, ,Captiva Dreamin-Tr. Lavern Bowman-reared in gate-head laceration-back in training, 
2009,07/24/2009,STEWARDS/VETS LIST,Yonkers Raceway,Main Track,Racing,Harness,cloudy 77,Tawny Reserve N,CHRISTOPHER S. CARRUBBA, ,Tawny Reserve N-Tr. Chris Carrubba-RF lameness-scratched,Lameness
2009,07/12/2009,FALL OF RIDER,Belmont Park (NYRA),Track,Racing,Thoroughbred,Clear,Niki All,GARY J. SCIACCA, ,Niki All-Tr. Gary Sciacca-Unseated Rider-Both horse & rider OK  no injuries,Accident
2009,06/20/2009,FALL OF HORSE,Finger Lakes Gaming & Racetrack,Finger Lakes,Training,Thoroughbred,rain,Patty's Breeze,PAUL W. BARROW, ,Patty's Breeze-Tr. Paul Barrow-horse flipped on Rider Tammi Lord-injured leg-horse ok, 
2009,07/23/2009,FALL OF RIDER,Belmont Park (NYRA),Start,Racing,Thoroughbred,Light rain,Il Senatore,DOMINICK A. SCHETTINO, ,Il Senatore-Tr. Dominick Schettino-Stumbled after start-unseated rider-horse & rider ok,Accident
2009,07/01/2009,EQUINE DEATH,Saratoga Racecourse (NYRA),Saratoga barn 64,Non-Racing,Thoroughbred,Thunder storms,Unamed 07 Always Red,BRUCE N. LEVINE, ,Unamed 07 Always Red-Tr. Bruce Levine-Found in stall w/ Fx L femur-euthanized,Euthanasia
2009,06/19/2009,EQUINE DEATH,Vernon Downs,VD,Racing,Harness,CLEAR,JOHN HENRY,DANIEL R. DALEY *, ,John Henry-Tr. Daniel Daley-sustained fx L knee-euthanized,Equine Death
2009,05/30/2009,ACCIDENT - ON TRACK,Vernon Downs,Vernon Downs,Racing,Harness,Sunny  Clear,Marquee Nights,DANIEL R. DALEY *, ,Marquee Nights-Tr. D. Daley-ran into another sulky-superficial injuries to horse & no injury to driver,Accident
2009,07/10/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,clear and 80 degrees,SCOOTERSLASTCHAMP,NEAL RUSSO, ,Scooterslastchamp-Tr. Neal Russo-lame-front foot-scratched-rested,Lameness
2009,07/13/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACE TRACK,Racing,Thoroughbred,Sunny,TOP OF THE SEVENS,CHRISTOPHER J. ENGLEHART, ,Top of the Sevens-Tr. C. Englehart-fx LF leg-euthanized,Euthanasia
2009,07/24/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,Clear,Royal Straight Flush,PATRICK J. KELLY, ,Royal Straight Flush-Tr. Patrick Kelly-suffered heat frustration-cooled down-no injury, 
2009,07/01/2009,EQUINE DEATH,Belmont Park (NYRA),Barn 22,Training,Thoroughbred,Thunder Storms,Kentucky Bluebird,PATRICK J. KELLY, ,Kentucky Bluebird-Patrick Kelly-Found in stall reinjured LH condylar fx-euthanized,Euthanasia
2009,07/18/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,partly cloudy and 68 degrees,Pro Bono Frank,CLINTON G. GALBRAITH, ,Pro Bono Frank-Tr. Clinton Galbraith-lame LF fetlock-infected cut-farm for treatment & recovery,Lameness
2009,07/23/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),1/2/ mi. pole,Racing,Thoroughbred,Showers,Ship of Fools,LUIS A. CHIARI, ,Ship of Fools-Tr. Luis Chiari-pulled up-ambulanced off-no injury found,Lameness
2009,06/30/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,A P GRACIE,KARL M. GRUSMARK, ,A P Gracie-Tr. Karl Grusmark-RH leg fx-euthanized,Euthanasia
2009,07/21/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Stable area,Non-Racing,Thoroughbred,Sunny,Snipe,RICHARD A. VIOLETTE JR, ,Snipe-Tr. Richard Violette-died of bleeding as result of pelvic fx-accident after running loose,Equine Death
2009,07/17/2009,EQUINE DEATH,Belmont Park (NYRA),Main track,Training,Thoroughbred,Clear,Iron Curtain,STEVE N. KLESARIS, ,Iron Curtain-Tr. Steve Klesaris-Fx both F sesamoids-Euthanized,Euthanasia
2009,06/13/2009,STEWARDS/VETS LIST,Vernon Downs,Vernon Downs,Racing,Harness,raining,First Nation,DONALD B. SIMMONDS, ,First Nation-Tr. Donald Simmonds-broke equip.-horse stumbled-slight wound both front legs-horse OK,Steward's List
2009,07/10/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Finish,Racing,Thoroughbred,Clear,Slick Wheelie,BRUCE R. BROWN, ,Slick Wheelie-Tr. Bruce Brown-torn LF suspensory-stall/farm rest,Lameness
2009,06/20/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn #37,Racing,Thoroughbred,Clouds & Sun,Hi Daddy,LEAH A. GYARMATI, ,Hi Daddy-Tr. Leah Gyarmati-Died after raced-Cardiovascular Collapse,Equine Death
2009,07/05/2009,EQUINE DEATH,Belmont Park (NYRA), Barn 36 -Belmont,Non-Racing,Thoroughbred, ,Atlantic Fleet,DAVID P. DUGGAN, ,Atlantic Fleet-Tr. David Duggan-complication from cellultis (laminatis)-euthanized,Euthanasia
2009,07/21/2009,FALL OF HORSE,Yonkers Raceway,After entering track ramp,Racing,Harness,Rainy 70 degrees,DEMPSEY,LAURIE A. WHITTEMORE, ,Dempsey-Tr. Laurie Whittemore-fell in warm-up-scratched,Injury
2009,06/26/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga  Harness,Racing,Harness,Clear 70 deg,Bama Bound,COLIN JOHNSON, ,Bama Bound-Tr. Colin Johnson-fx coffin bone- horse retired,Steward's List
2009,07/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,FIRE WAGON,GLENROY B. BROWN, ,Fire Wagon-Tr. Glenroy Brown-Fx L 3rd carpal bone-euthanized,Euthanasia
2009,07/04/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/8 pole,Racing,Harness,Clear,Dream Well,ROBERT W. HARMON *, ,Dream Well-Tr. Robert Harmon-Caught up in hobbles fell-horse OK-must requalify,Steward's List
2009,07/11/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct barn 12A,Non-Racing,Thoroughbred,Clear,Buea Walnut,OSVALDO ROJAS, ,Buea Walnut-Tr. Osvaldo Rojas-Internal bleeding,Equine Death
2009,06/21/2009,FALL OF HORSE,Tioga Downs,Tioga Downs  3/4 pole,Racing,Harness,Cloudy 72 degrees,Yankee Vader,JACLYN B. BAILEY, ,Yankee Vader-Tr. Jaclyn Bailey-fell on track-sustained skin scrapes to knees & laceration above right eye-return to racing end of July,Steward's List
2009,06/06/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Barn 31,Racing,Thoroughbred, ,Dunkirk,TODD A. PLETCHER, ,Dunkirk-Tr. Todd Pletcher-fx LH cannon bone-surgery to correct-sent to Kentucky for stud,Injury
